Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:24:40
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:25:03
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:25:03
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:25:03
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:25:03
Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:26:21
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:28:10
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:28:16
Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:28:30
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:28:31
Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:28:33
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:28:35
Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:28:36
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:28:38
Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:28:43
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:28:44
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:28:47
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:28:49
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:28:52
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:28:54
Alarm for nivo_vode	 Type: high	 Priority: 3	 Threshold: 80	 Activated at: 05/02/2022 22:30:40
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:52
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:53
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:53
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:57
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:57
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:57
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:57
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:57
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:58
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:59
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:59
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:59
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:59
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:59
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:59
Alarm for nivo_vode	 Type: low	 Priority: 2	 Threshold: 20	 Activated at: 05/02/2022 22:30:59
Alarm for nivo_benzina	 Type: low	 Priority: 2	 Threshold: 25	 Activated at: 05/02/2022 22:30:59
